Function Name,State Variables Modified,Can Transfer Ether
Ownable(),admin,True
"Crowdsale(uint256,uint256,uint256,address)","startTime, endTime, rate, wallet",False
hasEnded(),endTime,False
"CappedCrowdsale(uint256,uint256,uint256,address,uint256)",cap,False
hasEnded(),"weiRaised, cap",False
"mint(address,uint256,string)",,False
"HeartBoutPreICO(uint256,uint256,uint256,address,uint256,uint256)","token, minCount",False
function()payablepublic{}(),,False
buyTokens(string),"minCount, rate, token, weiRaised, weiRaised",True
"mintTokens(address,uint256,string)","minCount, rate, token, weiRaised, weiRaised",False
changeWallet(address),wallet,False
removeContract(),wallet,False
