Function Name,State Variables Modified,Can Transfer Ether
"query(uint,string,string)",,False
"query_withGasLimit(uint,string,string,uint)",,False
"query2(uint,string,string,string)",,False
"query2_withGasLimit(uint,string,string,string,uint)",,False
"queryN(uint,string,bytes)",,False
"queryN_withGasLimit(uint,string,bytes,uint)",,False
getPrice(string),,False
"getPrice(string,uint)",,False
setProofType(byte),,False
setCustomGasPrice(uint),,False
randomDS_getSessionPubKeyHash(),,False
getAddress(),,False
"__callback(bytes32,string)",,True
"__callback(bytes32,string,bytes)",,False
owner(),,False
"updateContractAddress(string,address)",,False
getContractAddress(string),,False
queryTypes(bytes32),,False
ratesActive(),,False
getRate(string),,False
"setRate(bytes32,uint256)",,False
"setQueryId(bytes32,string)",,False
getCurrencySettings(string),,False
constructor(address),registry,False
setCallbackGasPrice(uint256),,False
"sendQuery(string,uint256,uint256,string)",,True
"__callback(bytes32,string)",registry,True
selfDestruct(address),,False
function()publicpayable{}(),,False
