Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
RefundVault(address),"wallet, state",False
deposit(address),"state, deposited, deposited",False
close(),"state, state, wallet",True
enableRefunds(),"state, state",False
refund(address),"state, deposited, deposited",True
Gryphon(),"owner, vault, initialSupply, decimals, owner, presaleStartTimestamp, presaleEndTimestamp, presaleStartTimestamp, icoStartTimestamp, presaleEndTimestamp, icoEndTimestamp, icoStartTimestamp, crowdSaleState, start, duration",False
enter(),"crowdSaleState, crowdSaleState, crowdSaleState, crowdSaleState",True
getVested(address),"owner, owner, owner, owner, owner, start, start, duration, start, duration",False
"transfer(address,uint256)","investorCount, investorCount, investorCount",True
"transferFrom(address,address,uint256)","investorCount, investorCount, investorCount",True
getRefund(address),"crowdSaleState, vault",False
totalSupply(),,False
balanceOf(address),,False
isCrowdSaleStatePreSale(),crowdSaleState,False
isCrowdSaleStateICO(),crowdSaleState,False
isPreSalePeriod(),"preSaleRaised, preSaleMaxCapInWei, presaleEndTimestamp, crowdSaleState, presaleStartTimestamp",False
isICOPeriod(),"icoRaised, icoHardCapInWei, icoEndTimestamp, crowdSaleState, icoStartTimestamp",False
endCrowdSale(),"icoEndTimestamp, icoRaised, icoSoftCapInWei, icoRaised, icoSoftCapInWei, crowdSaleState, vault, crowdSaleState, vault",False
getInvestorCount(),investorCount,False
getPresaleRaisedAmount(),preSaleRaised,False
getICORaisedAmount(),icoRaised,False
