Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
constructor(),owner,True
pause(),paused,False
unpause(),paused,False
"constructor(address,address)","owner, owner, owner, totalSupply, totalRemaining, totalSupply, totalDistributed, teamDistributed, platformDistributed, owner, totalDistributed, _team_beneficiary, _platform_beneficiary, _team_beneficiary, teamDistributed, _platform_beneficiary, platformDistributed",True
transferOwnership(address),owner,False
finishDistribution(),distributionFinished,False
function()externalpayable{getTokens();}(),,False
getTokens(),"value, totalRemaining, value, totalRemaining, value, totalRemaining, value, blacklist, value, value",True
balanceOf(address),,False
isPayLock(address),"_team_beneficiary, _platform_beneficiary, _releaseTime",False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
"getTokenBalance(address,address)",,False
withdraw(),owner,True
burn(uint256),"totalSupply, totalSupply, totalDistributed, totalDistributed",True
withdrawForeignTokens(address),owner,True
