Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"migrate(address,uint256,address)",,False
"Joyso(address,address)","joysoWallet, joyToken, tokenAddress2Id, joyToken, tokenAddress2Id, tokenId2Address, tokenId2Address, joyToken",False
"depositToken(address,uint256)","tokenAddress2Id, balances, balances, balances",True
depositEther(),"balances, balances, balances",True
"withdraw(address,uint256)","userLock, userLock, balances, balances, balances",True
lockMe(),"userAddress2Id, userLock, lockPeriod, userLock",True
unlockMe(),"userAddress2Id, userLock",True
setTradeEventEnabled(bool),tradeEventEnabled,False
"addToAdmin(address,bool)",isAdmin,False
collectFee(address),"balances, joysoWallet, balances, joysoWallet, joysoWallet",True
changeLockPeriod(uint256),lockPeriod,False
"registerToken(address,uint256)","tokenAddress2Id, tokenId2Address, tokenAddress2Id, tokenId2Address",False
withdrawByAdmin_Unau(),"PAYMENT_METHOD_MASK, tokenId2Address, WITHDRAW_TOKEN_MASK, userId2Address, USER_MASK, SIGN_MASK, usedHash, V_MASK, PAY_BY_JOY, joyToken, PAY_BY_TOKEN, balances, balances, balances, balances, balances, balances, balances, joysoWallet, balances, joysoWallet, usedHash",True
matchByAdmin_TwH36(),"userId2Address, USER_MASK, userNonce, MATCH_SIGN_MASK, ORDER_ISBUY, V_MASK, orderFills, userId2Address, USER_MASK, userNonce, MATCH_SIGN_MASK, ORDER_ISBUY, V_MASK, orderFills",False
matchTokenOrderByAdmin_k44j(),"userId2Address, userNonce, orderFills, userId2Address, userNonce, orderFills",False
cancelByAdmin(),"userId2Address, USER_MASK, userNonce, SIGN_MASK, PAYMENT_METHOD_MASK, PAY_BY_JOY, joyToken, balances, balances, balances, balances, joysoWallet, balances, joysoWallet, userNonce",False
migrateByAdmin_DQV(),"tokenId2Address, WITHDRAW_TOKEN_MASK, userId2Address, USER_MASK, SIGN_MASK, V_MASK, PAYMENT_METHOD_MASK, PAY_BY_JOY, balances, joyToken, balances, joyToken, balances, joyToken, joysoWallet, balances, joyToken, joysoWallet, PAY_BY_TOKEN, balances, balances, balances, joysoWallet, balances, joysoWallet, balances, balances, balances, joysoWallet, balances, joysoWallet, balances, balances",False
"transferForAdmin(address,address,uint256)","tokenAddress2Id, userAddress2Id, balances, balances, balances, balances",True
"getBalance(address,address)",balances,False
