Function Name,State Variables Modified,Can Transfer Ether
owned(),owner,True
transferOwnership(address),owner,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
lockBalanceOf(address),,False
ClubTransferContract(),,False
getBalance(),clubToken,False
"transferClub(address,uint)","clubToken, clubToken",False
transferBack(),"clubToken, owner, clubToken",False
