Function Name,State Variables Modified,Can Transfer Ether
Permissions(),,True
getOwner(),,False
getStorageAddress(),,False
getCaller(),,True
transferOwnership(address),,False
newStorage(address),,False
newCaller(address),,True
"add(address,uint16,uint8,uint8)",,True
getCreature(uint256),creatureIndexToOwner,False
"transfer(address,address,uint256)",creatureIndexToOwner,False
CreaturesInterface(),"creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts, creatureCosts",False
"addCreature(uint16,uint8,uint8)","creatureCosts, creatureCosts",True
withdrawBalance(),,True
