Function Name,State Variables Modified,Can Transfer Ether
owned(),owner,True
transferOwnership(address),owner,False
"receiveApproval(address,uint256,address,bytes)",,False
TokenERC20(uint256),"totalSupply, decimals, balances, totalSupply",True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance",True
"approve(address,uint256)",allowance,True
"approveAndCall(address,uint256,bytes)",,True
burn(uint256),"balances, balances, totalSupply",True
"burnFrom(address,uint256)","balances, allowance, balances, allowance, totalSupply",True
"freezeAccount(address,bool)",frozenAccount,False
"mintToken(address,uint256)","balances, totalSupply",False
"setPrices(uint256,uint256)","sellPrice, buyPrice",False
buy(),buyPrice,True
sell(uint256),"sellPrice, sellPrice",True
balanceOf(address),,False
"function()payablepublic{uintamount=msg.value*buyPrice;require(balances[owner]>=amount);_transfer(owner,msg.sender,amount);}()","buyPrice, balances, owner, owner",True
selfdestructs(),owner,False
getEth(uint),owner,True
