Function Name,State Variables Modified,Can Transfer Ether
"mint(address,uint)",,False
start(),,False
getTotalSupply(),,False
balanceOf(address),,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
Owned(),owner,True
transferOwnership(address),,False
acceptOwnership(),"owner, owner",False
Crowdsale(address),beneficiary,False
function()publicpayablesalesRunning{_receiveFunds();}(),,False
initialize(address),"token, currentPrice, tokenPrice",False
setBonus(uint),bonus,False
getBonus(),"bonus, bonusBase",False
setTokenPrice(uint),currentPrice,False
setState(),"currentState, currentState, currentState, currentState, currentState, currentState, currentState",False
"investDirect(address,uint)","bonus, bonusBase",False
"investBounty(address,uint)",,False
getCountMembers(),countMembers,False
