Function Name,State Variables Modified,Can Transfer Ether
"query(uint,string,string)",,False
"query_withGasLimit(uint,string,string,uint)",,False
"query2(uint,string,string,string)",,False
"query2_withGasLimit(uint,string,string,string,uint)",,False
"queryN(uint,string,bytes)",,False
"queryN_withGasLimit(uint,string,bytes,uint)",,False
getPrice(string),,False
"getPrice(string,uint)",,False
setProofType(byte),,False
setCustomGasPrice(uint),,False
randomDS_getSessionPubKeyHash(),,False
getAddress(),,False
"__callback(bytes32,string)",,True
"__callback(bytes32,string,bytes)",,False
potDistribution(),"tokenSupply_, magnitude, tokenSupply_, profitPerShare_, profitPerShare_, payoutsTo_, _communityAddress, _totalProfitPot, _totalProfitPot",False
constructor(),"administrators, extendFunctionAddress_, gasPriceCallBack",False
"__callback(bytes32,string,bytes)","randomNumber, randomNumber, randomNumber, sendRandomRequest, randomNumber, winningNumber, setColorLastDay_",True
"setColor(,)","Cons, Cons, payoutsTo_, _MZBossAddress, payoutsTo_, _MZBossAddress, payoutsTo_, _communityAddress, payoutsTo_, _communityAddress, totalVolumn_, totalVolumn_, timeUpdate_, Cons, timeCutoff_, timeCutoff_, timeRequest_, Cons, sendRandomRequest, queryIdRequest, timeNearest_, _lastAddress, setColorLastDay_, setColorLastDay_",True
buyBlock(),"totalVolumn_, totalVolumn_, Cons, Cons, payoutsTo_, _MZBossAddress, payoutsTo_, _MZBossAddress, payoutsTo_, _communityAddress, payoutsTo_, _communityAddress, timeUpdate_, Cons, timeCutoff_, timeCutoff_, timeRequest_, Cons, sendRandomRequest, queryIdRequest, timeNearest_",True
guessColor(uint8),"totalVolumn_, totalVolumn_, timeUpdate_, Cons, timeCutoff_, timeCutoff_, timeRequest_, Cons, sendRandomRequest, queryIdRequest, timeNearest_, payoutsTo_, payoutsTo_",True
withdraw(),"payoutsTo_, payoutsTo_",True
"setAdministrator(address,bool)",administrators,False
"setExtendFunctionAddress(address,bool)",extendFunctionAddress_,False
setName(string),name,False
setSymbol(string),symbol,False
setTime(),"timeStart, timeUpdate_, timeStart, timeStart",False
setColorBlock(uint256),totalNumberColor_,False
"setGasFee(uint256,uint256)","callbackGas, gasPriceCallBack",True
blockSetPrice(uint256),"blockSetPrice_, Cons",False
blockBuyPrice(uint256),"blockBuyPrice_, Cons",False
blockColor(uint256),blockColor_,False
dividendsOf(address),"ethereumBalanceLedgerColor_, winningPerShare_, Cons, ethereumBalanceLedgerColor_, winningPerShare_, Cons, ethereumBalanceLedgerColor_, winningPerShare_, Cons, ethereumBalanceLedgerColor_, winningPerShare_, Cons, ethereumBalanceLedgerColor_, winningPerShare_, Cons, payoutsTo_, payoutsTo_",False
payoutsTo(address),payoutsTo_,False
colorTotalGuess(uint256),totalGuess,False
"playerColorGuess(address,uint256)",ethereumBalanceLedgerColor_,False
totalColorNumber(uint256),totalColor_,False
ownBlockNumber(address),ownBlockNumber_,False
winningPerShareNew(),"winningPerShareNew_, winningPerShareNew_",False
setColorUpdate(uint256),"changedBlockID_, changedBlockID_, changedBlockID_, changedBlockID_, blockColor_, changedBlockID_",False
paintedBlockNumber(),changedBlockID_,False
"extendFunctionUpdate(,,,)","totalBlock_, totalNumberColor_, blockSetPrice_, changedBlockID_, blockSetPrice_, Cons, blockBuyPrice_, blockColor_, totalColor_, blockColor_, totalColor_, blockColor_, blockColor_, totalColor_, totalColor_, blockAddress_, ownBlockNumber_, blockAddress_, ownBlockNumber_, blockAddress_, blockAddress_, blockAddress_, ownBlockNumber_, blockAddress_, ownBlockNumber_, blockAddress_",True
