Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
totalSupply(),totalSupply,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
balanceOf(address),,False
"approve(address,uint256)",,True
"allowance(address,address)",,False
burn(uint256),totalSupply,True
"burnFrom(address,uint256)",totalSupply,True
ERC20Token(),"decimals, totalCoin, totalSupply, totalCoin, decimals, owner, totalSupply, exchangeRate, min, symbol, name",False
changeTokenName(string),"name, name",False
changeTokenSymbol(string),"symbol, symbol",False
changeExhangeRate(uint8),"exchangeRate, exchangeRate",False
"freezeAccount(address,bool)",frozenAccount,False
function()publicpayable{fundTokens();}(),,False
fundTokens(),"min, frozenAccount, exchangeRate, owner, owner, owner, owner",True
"approveAndCall(address,uint256,bytes)",,True
