Function Name,State Variables Modified,Can Transfer Ether
function()payableexternal{_fallback();}(),,False
getImplementation(string),,False
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
getVersion(),versions,False
getContract(),versions,False
"addVersion(,address,bytes)","versions, latestMajor, latestMajor, versions, majorToLatestVersion, majorToLatestVersion",False
hasVersion(),versions,False
getLatest(),latestMajor,False
getLatestByMajor(uint64),"versions, majorToLatestVersion",False
"constructor(address,bytes)",IMPLEMENTATION_SLOT,True
"constructor(address,address,bytes)",ADMIN_SLOT,False
admin(),,False
implementation(),,False
changeAdmin(address),,False
upgradeTo(address),,False
"upgradeToAndCall(address,bytes)",,True
constructor(),,False
getProvider(string),providers,False
getPackage(string),providers,False
"setPackage(string,,)",providers,False
unsetPackage(string),"providers, providers",False
"getImplementation(string,string)",,False
"create(string,string,address,bytes)",,False
