Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),newOwner,False
acceptOwnership(),"owner, owner, newOwner, newOwner, owner",False
pause(),paused,False
unpause(),paused,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
constructor(uint256),"balances, _totalSupply",True
totalSupply(),_totalSupply,False
"transfer(address,uint256)",,True
"approve(address,uint256)",allowed,True
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
balanceOf(address),balances,False
"allowance(address,address)",allowed,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
constructor(),,True
"mint(address,uint256)",,False
addMinter(address),"minters, minters",False
removeMinter(address),"minters, minters",False
isMinter(address),minters,False
startMigrateToContract(address),"migrationToContract, migrationToContract",False
startMigrateFromContract(address),"migrationFromContract, migrationFromContract",False
migrate(),,False
"migrateFrom(address,uint256)",,False
isMigrationAgent(),,False
constructor(address),redeemAddress,False
updateDescription(string),description,False
"migrateFrom(address,uint256)",migrationFromContract,False
migrate(),"migrationToContract, migrationToContract, migrationToContract",True
"refundForeignTokens(address,address)",,True
"transferAccount(address,address)",redeemAddress,True
