Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"constructor(address,address,address,address,address,address)",decimals,False
totalSupply(),,False
"transfer(address,uint256)","freezedAccounts, freezedAccounts, freezedAccounts, freezedAccounts",True
"batchTransfer(,)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, freezedAccounts, freezedAccounts, freezedAccounts, freezedAccounts, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
burn(uint256),,True
function()externalpayable{revert();}(),,False
