Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
Destructible(),,False
destroy(),owner,False
destroyAndSend(address),,False
pause(),paused,False
unpause(),paused,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
"increaseApproval(address,uint)",,True
"decreaseApproval(address,uint)",,True
"mint(address,uint256)","totalSupply, totalSupply",False
finishMinting(),mintingFinished,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"increaseApproval(address,uint)",,False
"decreaseApproval(address,uint)",,False
"VanityCrowdsale(uint256,uint256,address)","startTime, endTime, ownerWallet, token, token",False
registered(address),registeredInDay,False
participantsCount(),participants,False
setOwnerWallet(address),ownerWallet,False
computeTotalEthAmount(),"participants, participants, distributedCount",False
setTotalUsdAmount(uint256),"totalUsdAmount, totalUsdAmount, bonusMultiplier, totalUsdAmount, bonusMultiplier, totalUsdAmount, bonusMultiplier, totalUsdAmount, bonusMultiplier, totalUsdAmount, bonusMultiplier, totalUsdAmount, bonusMultiplier",False
function()publicpayable{registerParticipant();}(),,False
registerParticipant(),"finalized, startTime, endTime, registeredInDay, registeredInDay, startTime, participants",True
finalize(),"finalized, endTime, finalized",False
participantBonus(address),"registeredInDay, bonusMultiplier",False
distribute(uint),"finalized, distributed, distributedCount, participants, participants, distributedCount, TOKEN_RATE, token, distributedTokens, distributedCount, distributedCount, participants, distributedTokens, OWNER_TOKENS_PERCENT, token, ownerWallet, token, token, distributed",False
