Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),"owner, owner",False
"transfer(address,uint256)",,False
balanceOf(address),,False
decimals(),,False
constructor(),"airdroptoken, token, airdroptoken, tmptoken, airdroptoken, icotoken, airdroptoken, decimals, rate",False
function()externalpayable{getTokens(msg.sender);}(),,True
getTokens(address),"icotoken, weiRaised, weiRaised",True
isActive(),,False
getDecimals(),token,False
setToken(address),"token, airdroptoken, decimals",False
"sendTokens(address,,)","airdroptoken, decimals",True
"sendTokensSingleValue(address,,uint256)","airdroptoken, decimals",True
tokensAvailable(),token,False
retrieveToken(address),"tmptoken, tmptoken, tmptoken, owner",True
retrieveEth(uint256),owner,True
destroy(),"token, owner, owner",True
