Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
balanceOf(address),balances,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"TokenTimelock(,address,uint64)","token, beneficiary, releaseTime",False
release(),"releaseTime, token, token, beneficiary",False
"transferFrom(address,address,uint256)","balances, allowed, balances, balances, balances, balances, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
burn(uint256),"balances, balances, balances, totalSupply, totalSupply",True
Owned(),owner,True
"EcomToken(address,address)","omniTeamAddress, foundationAddress, totalSupply, TOKENS_SALE_HARD_CAP, balances, owner, TOKENS_SALE_HARD_CAP",False
close(),"balances, owner, balances, owner, totalSupply, totalSupply, owner, decimals, totalSupply, totalSupply, balances, foundationAddress, decimals, totalSupply, totalSupply, decimals, omniTeamAddress, date01Jan2019, year1LockAddress, balances, year1LockAddress, decimals, omniTeamAddress, date01Jan2020, year2LockAddress, balances, year2LockAddress, decimals, omniTeamAddress, date01Jan2021, year3LockAddress, balances, year3LockAddress, decimals, omniTeamAddress, date01Jan2022, year4LockAddress, balances, year4LockAddress, decimals, omniTeamAddress, date01Jan2023, year5LockAddress, balances, year5LockAddress, tokenSaleClosed",False
"transferFrom(address,address,uint256)","owner, tokenSaleClosed",True
"transfer(address,uint256)","owner, tokenSaleClosed",True
