Function Name,State Variables Modified,Can Transfer Ether
Crowdsale(),creator,False
firstMintRound0(uint256),"canFirstMint, token, wallets",False
totalSupply(),token,False
getTokenSaleType(),TokenSale,False
hasEnded(),"endTime, renewal, hardCap, isInitialized",False
finalize(),"wallets, wallets, isFinalized, wallets, wallets, isFinalized",True
finalize2(),"chargeBonuses, chargeBonuses, allocation, creator, token, token, allocation, allocation, wallets, allocation, wallets, allocation, wallets, token, allocation, totalSaledToken, token, wallets, totalSaledToken, token, wallets, totalSaledToken",False
initialize(),"isInitialized, startTime, isInitialized, renewal, canFirstMint",False
claimRefund(),"vault, vault",True
goalReached(),softCap,False
"setup(uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,,,,,)","isInitialized, startTime, endTime, softCap, hardCap, rate, overLimit, minPay, exchange, maxAllProfit, bonuses, bonuses, profits, profits",False
weiRaised(),"ethWeiRaised, nonEthWeiRaised",False
weiTotalRaised(),weiRound1,False
getProfitPercent(),,False
getProfitPercentForData(uint256),"profits, profits, startTime, profits",False
getBonuses(uint256),"bonuses, bonuses, bonuses, bonuses, bonuses, bonuses, bonuses",False
tokenUnpause(),"wallets, endTime, renewal, TokenSale, isFinalized, token",True
tokenPause(),"isFinalized, token",False
setCrowdsalePause(bool),isPausedCrowdsale,False
moveTokens(address),token,False
migrateAll(),token,False
"changeWallet(,address)","wallets, wallets, isInitialized, wallets",True
resetAllWallets(),"wallets, wallets, wallets, token",True
"massBurnTokens(,)","endTime, renewal, token",False
prolong(uint256),"startTime, endTime, renewal, isInitialized, renewal, renewal, renewal",False
distructVault(),"vault, wallets, startTime, vault, wallets, wallets, startTime, vault, wallets",True
"paymentsInOtherCurrency(uint256,uint256)","startTime, endTime, renewal, ethWeiRaised, hardCap, overLimit, isInitialized, nonEthWeiRaised, tokenReserved",False
buyTokens(address),"maxAllProfit, maxAllProfit, rate, ethWeiRaised, ethWeiRaised",True
function()publicpayable{buyTokens(msg.sender);}(),,True
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
RefundVault(),state,False
deposit(address),"state, deposited, deposited",False
"close(address,address,uint256)","state, state",True
enableRefunds(),"state, state",False
refund(address),"state, deposited, deposited",True
restart(),"state, state",False
del(address),,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)",,False
"setUnpausedWallet(address,bool)","owner, owner, unpausedWallet",True
setPause(bool),"paused, paused, paused, paused",False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"grantToSetUnpausedWallet(address,bool)","owner, owner, grantedToSetUnpausedWallet",True
"setUnpausedWallet(address,bool)","owner, grantedToSetUnpausedWallet, owner, unpausedWallet",True
setMigrationAgent(address),"migrationAgent, migrationAgent",False
migrateAll(),,False
migrate(),,True
"migrateFrom(address,uint256)",,False
freezedTokenOf(address),,False
defrostDate(address),,False
"freezeTokens(address,uint256,uint256)",,False
"transferAndFreeze(address,uint256,uint256)",unpausedWallet,True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"burn(address,uint256)",,False
"tokenFallback(address,uint,bytes)",,False
"transferToContract(address,uint256,bytes)",,True
"grantToAllowBlocking(address,bool)",grantedToAllowBlocking,True
"allowBlocking(address,address)","owner, grantedToAllowBlocking, allowedToBlocking",True
"blockTokens(address,uint256)","allowedToBlocking, blocked, blocked",True
"unblockTokens(address,address,uint256)","allowedToBlocking, blocked, blocked, blocked",True
"AllocationTOSS(,uint256,uint256)","unlockPart1, unlockPart2, token",False
"addShare(address,uint256,uint256)","shares, shares, totalShare, totalShare",False
unlockFor(address),"unlockPart1, shares, unlockPart2, shares, shares, token, totalShare, shares, shares, totalShare, totalShare, token",True
createToken(),"token, token",True
"createAllocation(,uint256,uint256)","allocation, allocation",True
createRefund(),"refund, refund",True
