Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),"owner, owner",False
pause(),paused,False
unpause(),paused,False
addAddressToOperators(address),"operators, operators",False
addAddressesToOperators(),,False
removeAddressFromOperators(address),"operators, operators",False
removeAddressesFromOperators(),,False
addAddressToWhitelist(address),"whitelist, whitelist",False
addAddressesToWhitelist(),,False
removeAddressFromWhitelist(address),"whitelist, whitelist",False
removeAddressesFromWhitelist(),,False
"transferFrom(address,address,uint)",,False
"constructor(address,address,address)","token, beneficiary, pool, funding, funding, funding, funding, stages, stages, stages, stages, stages, stages, stages, stages, stages, stages, stages, stages, stages, stages, stages, stages, stages, stages, EMPTY_ADDRESS",False
getStageAverageBonus(uint8),stages,False
getOpenedStageIndex(),"stages, stages, stages, stages",False
getTodayLotteryNumber(),funding,False
getSummary(),"stages, stages, stages, stages, stages, funding, funding, funding, funding, funding",False
"setStageOpeningTime(uint8,uint32)","stages, stages, stages",False
getStages(),"stages, stages, stages, stages, stages, stages, stages, stages, stages, EMPTY_ADDRESS, stages",False
"getBuyers(uint16,uint8)","funding, funding",False
"getWinners(uint16,uint8)","funding, funding",False
"getStageBuyers(uint8,uint16,uint8)",stages,False
"getStageWinners(uint8,uint16,uint8)",stages,False
getBuyer(address),buyers,False
finalFundGoalReached(),,False
stageFundGoalReached(uint8),stages,False
"tokenFallback(address,uint256)",token,True
releasable(address),,False
"function()whenNotPausedonlyWhitelistedpublicpayable{require(beneficiary!=msg.sender,""The beneficiary cannot buy CATT."");if(msg.value==0){release(msg.sender);}else{buy(msg.sender,msg.value);}}()",beneficiary,True
