Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance",True
"approve(address,uint256)",allowance,True
Owned(),owner,True
transferOwnership(address),owner,False
Beercoin(),"balanceOf, owner, totalSupply",False
lockRedemption(bool),redemptionLocked,True
produce(uint256),"unproducedCaps, producedCaps, unproducedCaps, producedCaps, decimals, totalSupply, balanceOf",False
"scan(address,byte)","decimals, decimals, decimals, decimals",True
"scanMany(,)",,False
"redeem(address,uint256)","redemptionLocked, owner",True
"redeemMany(,)",,False
"transferMany(,)",,True
burn(uint256),"balanceOf, balanceOf, totalSupply",True
