Function Name,State Variables Modified,Can Transfer Ether
"tokenFallback(address,uint,bytes)",,True
SilkrouteCoin(),"tokenCreated, tokenCreated, owner, owner, totalSupply, owner",True
name(),name,False
symbol(),symbol,False
decimals(),decimals,False
totalSupply(),totalSupply,False
"transfer(address,uint,bytes)",,True
"transfer(address,uint)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
burn(uint256),"totalSupply, totalSupply",True
"burnFrom(address,uint256)",totalSupply,True
