Function Name,State Variables Modified,Can Transfer Ether
amountOfOwners(),allOwners,False
ownerAtIndex(uint256),allOwners,False
getAllOwners(),allOwners,False
WEAToken(),"totalSupply, decimals, balanceOf, totalSupply, totalSupply, allOwners, name, symbol",True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance",True
"approve(address,uint256)",allowance,True
burn(uint256),"balanceOf, balanceOf, totalSupply",True
"burnFrom(address,uint256)","balanceOf, allowance, balanceOf, allowance, totalSupply",True
"add(,uint256)",,False
"contains(,uint256)",,False
"remove(,uint256)",,False
size(),,False
"add(,address)",,False
"add(,bytes32)",,False
"contains(,address)",,False
"contains(,bytes32)",,False
"remove(,address)",,False
"remove(,bytes32)",,False
