Function Name,State Variables Modified,Can Transfer Ether
withdraw(),,False
myDividends(bool),,False
constructor(),"administrator_, lending_, freeFund_, devs_, devs_, devs_, devs_",False
function()payableexternal{}(),,False
pushEther(),"tokenContract_, devsShare_, freeFundShare_, lending_, freeFund_, devs_, devs_",True
addDev(address),devs_,False
removeDev(address),"devs_, devs_, devs_, devs_, devs_",False
isDev(address),"devs_, devs_",False
getTotalBalance(),,False
getTotalDevs(),devs_,False
myDividends(bool),tokenContract_,False
setTokenContract(address),tokenContract_,False
