Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
Bounty0xEscrow(),tokenIsSupported,False
addSupportedToken(address),"tokenIsSupported, tokenIsSupported",False
removeSupportedToken(address),"tokenIsSupported, tokenIsSupported",False
getListOfSupportedTokens(),,False
"tokenFallback(address,uint,bytes)","tokenIsSupported, tokens, tokens, tokens",True
"depositToken(address,uint)","tokenIsSupported, tokens, tokens, tokens",True
"distributeTokenToAddress(address,address,address,uint256)","tokenIsSupported, tokens, tokens, tokens",True
"distributeTokenToAddressesAndAmounts(address,address,,)","tokenIsSupported, tokens, tokens, tokens",True
"distributeTokenToAddressesAndAmountsWithoutHost(address,,)",tokenIsSupported,True
