Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
currentSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
"receiveApproval(address,uint256,address,bytes)",,False
Owned(),owner,True
transferOwnership(address),newOwner,False
acceptOwnership(),"newOwner, owner, newOwner, owner, newOwner, newOwner",True
GridcubePlatformToken(),"symbol, name, decimals, bonusEnds, endDate, _totalSupply, _totalSupply, _currentSupply",False
totalSupply(),_totalSupply,False
currentSupply(),_currentSupply,False
balanceOf(address),,False
"transfer(address,uint)",,True
"approve(address,uint)",,True
"transferFrom(address,address,uint)",,True
"allowance(address,address)",,False
"approveAndCall(address,uint,bytes)",,True
"function()publicpayable{require(now>=startDate&&now<=endDate);uinttokens;if(now<=bonusEnds){tokens=msg.value*200;}else{tokens=msg.value*180;}balances[msg.sender]=safeAdd(balances[msg.sender],tokens);_currentSupply=safeSub(_currentSupply,tokens);Transfer(address(0),msg.sender,tokens);owner.transfer(msg.value);}()","startDate, endDate, bonusEnds, _currentSupply, _currentSupply, owner",True
"transferAnyERC20Token(address,uint)",owner,True
