Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),newOwner,False
acceptOwnership(),"newOwner, owner, newOwner",True
transferTechSupport(address),"owner, techSupport, newTechSupport",True
acceptSupport(),"newTechSupport, techSupport, newTechSupport",True
setCrowdsaleContract(address),,False
burnTokens(address),,False
getCrowdsaleBalance(),,False
getRefBalSended(),,False
"sendCrowdsaleBalance(address,uint)",,False
finishIco(),,False
"Crowdsale(address,address)","token, owner, structurePreIco, structurePreIco, structurePreIco, structurePreIco, structurePreIco, structurePreIco, structureIco, structureIco, structureIco, techSupport, token",True
isPreIco(uint),"preIcoStart, preIcoFinish",False
isIco(uint),"icoStart, icoFinish",False
"function()publicpayable{require(msg.value>=minDeposit);require(isIco(now)||isPreIco(now));require(buy(msg.sender,msg.value,now,false));}()",,True
finishIco(),"icoFinish, token, structureIco, structureIco, structurePreIco, structurePreIco, token",False
isIcoTrue(),tokensSold,False
refund(),"icoFinish, token, investorBalances, investorBalances",True
"sendEtherManually(address,uint)",,False
tokensCount(uint),,False
getEtherBalanceOnCrowdsale(),,False
