Function Name,State Variables Modified,Can Transfer Ether
"receiveApproval(address,uint256,address,bytes)",,False
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
paused(),_paused,False
pause(),_paused,True
unpause(),_paused,True
"constructor(uint256,string,string)","totalSupply, decimals, balanceOf, totalSupply, name, symbol",True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance",True
"approve(address,uint256)",allowance,True
"approveAndCall(address,uint256,bytes)",,True
burn(uint256),"balanceOf, balanceOf, totalSupply, totalSupply",True
"burnFrom(address,uint256)","balanceOf, balanceOf, allowance, allowance, totalSupply, totalSupply",True
constructor(),,False
freezeAccount(address),frozenAccount,False
unFreezeAccount(address),frozenAccount,False
"lockAccount(address,uint256)",lockedAccount,False
unlockAccount(address),lockedAccount,False
changeName(string),name,False
changeSymbol(string),symbol,False
isAccountLocked(address),lockedAccount,False
isAccountFrozen(address),frozenAccount,False
