Function Name,State Variables Modified,Can Transfer Ether
constructor(),god,True
godChangeGod(address),god,False
godPause(),isPaused,False
godUnpause(),isPaused,False
payTaxes(),,False
"existingAuction(uint,uint)",,False
godSetBlindAuctionsContract(address),blindAuctionsContract,False
godSetOpenAuctionsContract(address),openAuctionsContract,False
godSetKingOfEthContract(address),kingOfEthContract,False
constructor(),isPaused,False
godStartGame(),lastIncreaseTime,False
auctionsDecrementAuctionsRemaining(),auctionsRemaining,False
auctionsIncrementAuctionsRemaining(),auctionsRemaining,False
kingIncreaseBoard(),"lastIncreaseTime, kingTimeBetweenIncrease",False
wayfarerIncreaseBoard(),"lastIncreaseTime, wayfarerTimeBetweenIncrease",False
plebIncreaseBoard(),"lastIncreaseTime, plebTimeBetweenIncrease",False
godSetBoardContract(address),boardContract,False
"ownerOf(uint,uint)",,False
"level(uint,uint)",,False
"auctionsSetOwner(uint,uint,address)",,False
"houseRealtyTransferOwnership(uint,uint,address,address)",,False
godSetHousesContract(address),housesContract,False
"constructor(address,address,address)","kingOfEthContract, blindAuctionsContract, boardContract, isPaused",False
"existingAuction(uint,uint)",,False
"createAuction(uint,uint)","blindAuctionsContract, boardContract, housesContract",True
"placeBid(uint,uint)",bidSpan,True
"closeAuction(uint,uint)","boardContract, housesContract, kingOfEthContract",False
