Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
constructor(),owner,True
transferOwnership(address),"owner, owner",False
renounceOwnership(),"owner, owner",False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)",,False
finishMinting(),mintingFinished,False
commit(uint256),,True
withdraw(),,True
getReward(address),,False
"average(uint256,uint256)",,False
"signedAverage(int256,int256)",,False
commitmentOf(address),,False
getCommitment(address),,False
totalStake(),,False
blockReward(),,False
transferGDPOracle(address),,False
claimOracle(),,False
setPositiveGrowth(int256),,False
setNegativeGrowth(int256),,False
GDPOracle(),,False
pendingGDPOracle(),,False
M5Token(),,False
M5Logic(),,False
upgradeManager(),,False
isUpgradeFinished(),,False
upgradeM5Token(address),,False
upgradeM5Logic(address),,False
"upgradeM5(address,address)",,False
finishUpgrade(),,False
getM5Reward(address),,True
withdrawM5(),,True
swap(uint256),,True
"constructor(string,string,uint256,address,address)","name, symbol",False
