Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"stampToken(uint256,uint256,uint256)",,True
TestCoin(),"owner, name, symbol, decimals, totalSupply, decimals, stampingWhitelist, owner, owner, totalSupply",False
balanceOf(address),,False
"balanceOfToken(address,uint256)",,False
tokensOwned(address),,False
"transfer(address,uint256)",totalSupply,True
"transferToken(address,uint256,uint256)",,True
"transferTokens(address,,)",,True
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"mintTransfer(address,uint256,uint256,uint256)",,True
addToWhitelist(address),stampingWhitelist,False
removeFromWhitelist(address),stampingWhitelist,False
"approve(address,uint256)","allowed, allowed",True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
