Function Name,State Variables Modified,Can Transfer Ether
owner(bytes32),,False
claim(address),,False
owned(),"owner, admin",True
transferOwnership(address),owner,False
setAdmin(address),admin,False
"RichiumToken(uint256,string,string)","totalSupply, decimals, balanceOf, totalSupply, name, symbol, approvedAccount",True
"transfer(address,uint256)",,True
"mintToken(address,uint256)","balanceOf, totalSupply",False
"burnFrom(address,uint256)","balanceOf, balanceOf, totalSupply",False
withdraw(uint256),owner,True
"approveAccount(address,bool)",approvedAccount,False
"setPrices(uint256,uint256)","bid, ask",False
function()payablepublic{buy();}(),,False
buy(),"ask, decimals, ask",True
sell(uint256),"bid, bid, bid, decimals",True
