Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
"withdrawEther(address,uint)",,True
"withdrawTokens(,address,uint)",,True
pause(),paused,False
unpause(),paused,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"allowance(address,address)",,False
"approve(address,uint256)",,False
"transfer(address,uint256,bytes)",,False
"tokenFallback(address,uint256,bytes)",,False
"StandardToken(string,string,uint8)","name, symbol, decimals",False
balanceOf(address),,False
"transfer(address,uint256)",,True
"transfer(address,uint256,bytes)",,True
"multiTransfer(,)",,True
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"allowance(address,address)",allowed,False
"approve(address,uint256)",allowed,True
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)","totalSupply, totalSupply",False
finishMinting(),mintingFinished,False
CappedToken(uint256),cap,False
"mint(address,uint256)","totalSupply, cap",False
burn(uint256),"totalSupply, totalSupply",True
Token(),,False
Crowdsale(),token,False
function()payablepublic{purchase();}(),,False
"tokenFallback(address,uint256,bytes)","token, sellStartTime, sellEndTime, priceTokenSellWei, tokensSell, tokensSell, sellWei, sellWei",True
purchase(),"crowdsaleClosed, purchaseStartTime, purchaseEndTime, tokensSold, tokensForSale, priceTokenWei, tokensSold, tokensForSale, tokensSold, tokensForSale, priceTokenWei, tokensSold, tokensSold, collectedWei, collectedWei, beneficiary, token",True
accrueEther(),,True
closeCrowdsale(),"crowdsaleClosed, token, beneficiary, token, token, token, token, beneficiary, crowdsaleClosed",True
