Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
registerBase(bytes32),"price, baseRegistred, baseRegistred, ownsBase",True
"registerHandle(bytes32,bytes32,address)","baseRegistred, ownsBase, handleIndex",True
"transferBase(bytes32,address)","baseRegistred, ownsBase, ownsBase, ownsBase",True
getPrice(),price,False
"findAddress(bytes32,bytes32)",handleIndex,False
isRegistered(bytes32),baseRegistred,False
"doesOwnBase(bytes32,address)",ownsBase,False
"AHS(uint256,bytes32,bytes32)",price,False
function()publicpayable{}(),,False
getBaseQuick(bytes32),"owner, baseRegistred, baseRegistred, ownsBase, owner",True
withdraw(),"owner, owner",True
changePrice(uint256),"owner, price",True
