Function Name,State Variables Modified,Can Transfer Ether
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
owner(),_owner,False
admin(),_admin,False
isOwner(),_owner,True
isOwnerOrAdmin(),"_owner, _admin",True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
setAdmin(address),_admin,False
paused(),_paused,False
pause(),_paused,True
unpause(),_paused,True
"constructor(string,string,uint8,uint256)","_name, _symbol, _decimals, _cap",False
name(),_name,False
symbol(),_symbol,False
decimals(),_decimals,False
totalSupply(),_totalSupply,False
cap(),_cap,False
balanceOf(address),_balances,False
"allowance(address,address)",_allowed,False
"transfer(address,uint256)",,True
"approve(address,uint256)",,True
"transferFrom(address,address,uint256)",_allowed,True
"increaseAllowance(address,uint256)",_allowed,True
"decreaseAllowance(address,uint256)",_allowed,True
"mint(address,uint256)",,False
burn(uint256),,True
"burnFrom(address,uint256)",,False
