Function Name,State Variables Modified,Can Transfer Ether
constructor(),"administrators, gasLimitForOraclize",True
"function()onlyActive()onlyHumans()publicpayable{require(msg.value>=minBetsVolume&&msg.value<=maxBetsVolume);randomQueryId+=1;totalInvested+=msg.value;jackPot_now+=msg.value.mul(jackPot_percent_now).div(1000);jackPot_next+=msg.value.mul(jackPot_percent_next).div(1000);jackPot_lf+=msg.value.mul(jackPot_little_first).div(1000);jackPot_ls+=msg.value.mul(jackPot_little_second).div(1000);uintadminGetValue=msg.value.mul(forAdminGift).div(1000);adminGet.transfer(adminGetValue);uintpromoGetValue=msg.value.mul(forAdminGift).div(1000);promoGet.transfer(promoGetValue);if(mkt!=0x0&&mktRate!=0){uintmktGetValue=msg.value.mul(mktRate).div(1000);mkt.transfer(mktGetValue);}stringmemoryqueryString1=""[URL] ['json(https://api.random.org/json-rpc/1/invoke).result.random[\""data\""]', '\\n{\""jsonrpc\"":\""2.0\"",\""method\"":\""generateSignedIntegers\"",\""params\"":{ \""apiKey\"": \""${[decrypt] BA6wdVhxT1anzZBm6Xr5OzysSzGo2DIGH349LdmWB6igg/omCb1VnwAz49WPlrUkEP1YyaqMoqrnsN+eSVB9MFVKNdVY822THfexi+JT6ThoQGoLCDlzbKD8CbCHM0d8KpPYwzYhFvbmhOfY9Lht3eVsJDSD}\"",\""n\"":1,\""min\"":1,\""max\"":1500,\""replacement\"":true,\""base\"":10${[identity] \""}\""},\""id\"":"";stringmemoryqueryString2=uint2str(randomQueryId);stringmemoryqueryString3=""${[identity] \""}\""}']"";stringmemoryqueryString1_2=queryString1.toSlice().concat(queryString2.toSlice());stringmemoryqueryString1_2_3=queryString1_2.toSlice().concat(queryString3.toSlice());bytes32queryId=oraclize_query(""nested"",queryString1_2_3,gasLimitForOraclize);playerBetId[queryId]=queryId;playerBetValue[queryId]=msg.value;playerAddress[queryId]=msg.sender;emitLogOraclizeQuery(""Oraclize query was sent, standing by for the answer.."");emitbetsLog(playerTempAddress[queryId],now,playerTempBetValue[queryId],queryId);}()","minBetsVolume, maxBetsVolume, randomQueryId, totalInvested, jackPot_now, jackPot_percent_now, jackPot_next, jackPot_percent_next, jackPot_lf, jackPot_little_first, jackPot_ls, jackPot_little_second, forAdminGift, adminGet, forAdminGift, promoGet, randomQueryId, gasLimitForOraclize",True
"__callback(bytes32,string,bytes)","betsNum, queue, jackPotWinMinAmount, rand_jmin, rand_jmax, jackPotWin, jackPot_now, jackPotNum, jackPotNum, jackPot_now, jackPot_now, jackPot_next, jackPot_next, jackPot_little_first_min, jackPot_little_first_max, jackPot_lf, jackPotLFNum, jackPotLFNum, jackPot_lf, jackPot_lf, jackPot_little_second_min, jackPot_little_second_max, jackPot_ls, jackPotLSNum, jackPotLSNum, jackPot_ls, jackPot_ls, queue",True
"ownerRefundPlayer(bytes32,address,uint)",,True
ownerSetCallbackGasPrice(uint),,False
ownerSetOraclizeSafeGas(uint32),gasLimitForOraclize,False
donate(),,False
setJackPotNowValue(),"jackPot_now, jackPot_now",False
setJackPotNextValue(),"jackPot_next, jackPot_next",False
setJackPotLFValue(),"jackPot_lf, jackPot_lf",False
setJackPotLSValue(),"jackPot_ls, jackPot_ls",False
setjackPotLillteF(uint),jackPot_little_first,False
"setjackPotLillteFMinMax(uint,uint)","jackPot_little_first_min, jackPot_little_first_max",False
setjackPotLillteS(uint),jackPot_little_second,False
"setjackPotLillteSMin(uint,uint)","jackPot_little_second_min, jackPot_little_second_max",False
setMarket(address),,False
setMarketingRates(uint),,False
setAdminGet(address),adminGet,False
setPromoGet(address),promoGet,False
setForAdminGift(uint),forAdminGift,False
setJeckPotPercentNow(uint),jackPot_percent_now,False
setJeckPotPercentNext(uint),jackPot_percent_next,False
setJeckPotWin(uint),jackPotWin,False
setRandJMax(uint),rand_jmax,False
setNewMinVolume(uint),minBetsVolume,False
setNewMaxVolume(uint),maxBetsVolume,False
setContractActive(bool),boolContractActive,False
"setAdministrator(address,bool)",administrators,False
getAllDepoIfGameStop(),"jackPot_now, jackPot_next, jackPot_lf, jackPot_ls, adminGet",True
