Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256,uint256)",,False
"allowance(address,address)",,False
"DetailedERC20(string,string,string,uint8,uint256)","owner, accounts, owner, summarySupply, name, symbol, decimals, description",True
"transfer(address,uint256)","accounts, accounts, accounts, accounts, accounts",True
"transferFrom(address,address,uint256)","accounts, allowed, accounts, accounts, allowed, allowed, accounts, accounts",True
"approve(address,uint256,uint256)","allowed, allowed",True
"allowance(address,address)",allowed,False
balanceOf(address),"accounts, accounts",True
totalSupply(),summarySupply,False
