Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
constructor(),owner,True
constructor(),benificiary,True
set_total(uint256),"lockStart, totalFutureRelease",False
"set_lock_info(int,int,int,int)","lockStart, release_percent, dateArray, dateArray, days_of_month",False
lock(int),"lockStart, dateArray, dateArray, release_percent, totalFutureRelease, contract_addr, totalFutureRelease, startTime, lockStart",False
set_benificiary(address),benificiary,False
release(),"lockStart, release_map, dateArray, dateArray, dateArray, dateArray, dateArray",False
dayFor(),"startTime, startTime",False
regist(string),contract_addr,False
