Function Name,State Variables Modified,Can Transfer Ether
"receiveApproval(address,uint256,address,bytes)",,False
PiplCorpToken(),"balances, _totalSupply, name, symbol, decimals, owner",True
balanceOf(address),balances,False
"allowance(address,address)",allowances,False
totalSupply(),_totalSupply,False
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
"approve(address,uint256)",allowances,True
"approveAndCall(address,uint256,bytes)",,True
"transferFrom(address,address,uint256)","balances, balances, balances, allowances, balances, balances, allowances",True
burn(uint256),"balances, balances, _totalSupply",True
"burnFrom(address,uint256)","balances, allowances, balances, _totalSupply",True
