Function Name,State Variables Modified,Can Transfer Ether
"isTransferAllowed(address,address,address,address,uint)",,False
addOracles(),"oracles, oracles",False
removeOracles(),"oracles, oracles",False
Treasury(address),,False
init(address),,False
function()payablepublic{revert();}(),,False
"deposit(bytes32,uint,uint,address,uint)",,True
"withdraw(bytes32,uint,address,uint,address)",,True
"getSharesPercentForPeriod(bytes32,uint)",,False
getUserBalance(bytes32),,False
getLockedUserBalance(bytes32),,False
getLockedUserDeposits(bytes32),,False
getTotalBmcDaysAmount(uint),,False
addDistributionPeriod(),,False
"isTransferAllowed(address,address,address,address,uint)",,False
