Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),owner,False
kill(),owner,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
decimals(),,False
SilentNotaryToken(),,False
function()payablepublic{revert();}(),,False
decimals(),,False
"mint(address,uint)","totalSupply, totalSupply, balances, balances, balances",False
setCrowdsaleAgent(address),crowdsaleAgent,False
releaseTokenTransfer(),released,False
"transfer(address,uint)","balances, balances, balances, balances, balances",True
"transferFrom(address,address,uint)","balances, balances, balances, balances, balances",True
balanceOf(address),balances,False
"approve(address,uint)",,True
"allowance(address,address)",,False
