Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner1,True
transferOwner1(address),"owner1, owner2, owner1",True
transferOwner2(address),"owner1, owner2, owner2",True
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint)",,False
constructor(),"name, decimals, symbol, creator, totalTokenSupply, tokenIssuedSale, tokenIssuedBdev, tokenIssuedMkt, tokenIssuedRnd, tokenIssuedTeam, tokenIssuedReserve, tokenIssuedAdvisor, maxTotalSupply, maxSaleSupply, maxBdevSupply, maxMktSupply, maxRndSupply, maxTeamSupply, maxReserveSupply, maxAdvisorSupply",True
totalSupply(),totalTokenSupply,False
balanceOf(address),"balances, ap1, ap2, ap3, bp1, bp2",False
"transfer(address,uint)","balances, balances, balances, balances, balances",True
"approve(address,uint)","balances, approvals",True
"allowance(address,address)",approvals,False
"transferFrom(address,address,uint)","balances, approvals, approvals, approvals, balances, balances, balances, balances",True
"apSaleIssue(address,uint)","E18, maxSaleSupply, tokenIssuedSale, balances, balances, ap1, ap1, ap2, ap2, ap3, ap3, totalTokenSupply, totalTokenSupply, tokenIssuedSale, tokenIssuedSale, apIssuedSale, apIssuedSale",False
"bpSaleIssue(address,uint)","E18, maxSaleSupply, tokenIssuedSale, balances, balances, bp1, bp1, bp2, bp2, totalTokenSupply, totalTokenSupply, tokenIssuedSale, tokenIssuedSale, bpIssuedSale, bpIssuedSale",False
"saleIssue(address,uint)","E18, maxSaleSupply, tokenIssuedSale, balances, balances, totalTokenSupply, totalTokenSupply, tokenIssuedSale, tokenIssuedSale, pbIssuedSale, pbIssuedSale",False
"bdevIssue(address,uint)","E18, maxBdevSupply, tokenIssuedBdev, balances, balances, totalTokenSupply, totalTokenSupply, tokenIssuedBdev, tokenIssuedBdev",False
"mktIssue(address,uint)","E18, maxMktSupply, tokenIssuedMkt, balances, balances, totalTokenSupply, totalTokenSupply, tokenIssuedMkt, tokenIssuedMkt",False
"rndIssue(address,uint)","E18, maxRndSupply, tokenIssuedRnd, balances, balances, totalTokenSupply, totalTokenSupply, tokenIssuedRnd, tokenIssuedRnd",False
"reserveIssue(address,uint)","E18, maxReserveSupply, tokenIssuedReserve, balances, balances, totalTokenSupply, totalTokenSupply, tokenIssuedReserve, tokenIssuedReserve",False
"teamIssue(address,uint)","E18, maxTeamSupply, tokenIssuedTeam, balances, balances, totalTokenSupply, totalTokenSupply, tokenIssuedTeam, tokenIssuedTeam",False
"advisorIssue(address,uint)","E18, maxAdvisorSupply, tokenIssuedAdvisor, balances, balances, totalTokenSupply, totalTokenSupply, tokenIssuedAdvisor, tokenIssuedAdvisor",False
setTokenLockUp(),"tokenLock, tokenLock",False
setTokenLock(),"tokenLock, tokenLock",False
apLockUp(address),"tokenLock, saleTime, apLock_1, ap1, balances, balances, ap1, ap1, ap1, apLock_2, ap2, balances, balances, ap2, ap2, ap2, apLock_3, ap3, balances, balances, ap3, ap3, ap3",False
bpLockUp(address),"tokenLock, saleTime, bpLock_1, bp1, balances, balances, bp1, bp1, bp1, bpLock_2, bp2, balances, balances, bp2, bp2, bp2",False
function()payableexternal{revert();}(),,False
endSale(),"saleTime, saleTime",False
"withdrawTokens(address,uint)","E18, balances, balances, totalTokenSupply, totalTokenSupply",False
setApTime(uint),"tokenLock, saleTime, apLock_1, apLock_2, month, apLock_3, apLock_2, month",False
setBpTime(uint),"tokenLock, saleTime, bpLock_1, bpLock_2, month",False
burnToken(uint),"E18, balances, balances, balances, burnTokenSupply, burnTokenSupply, totalTokenSupply, totalTokenSupply",True
close(),creator,True
