Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
transferOwnership(address),pendingOwner,False
claimOwnership(),"owner, pendingOwner, owner, pendingOwner, pendingOwner",False
totalSupply(),totalSupply_,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"transferableTokens(address,uint64)",,False
balanceOf(address),,False
"allowance(address,address)",allowed,False
"transfer(address,uint256)",,True
"approve(address,uint256)",allowed,True
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)","totalSupply_, totalSupply_",False
finishMinting(),mintingFinished,False
disableTransfers(bool),,False
"issue(address,uint256)",,False
"destroy(address,uint256)",,False
setDestroyEnabled(bool),destroyEnabled,False
disableTransfers(bool),transfersEnabled,True
"issue(address,uint256)",,False
"destroy(address,uint256)","owner, totalSupply_, totalSupply_",True
"transferableTokens(address,uint64)",transfersEnabled,True
BitMEDSmartToken(),,False
Vault(),"token, state",False
"deposit(address,uint256,uint256)","depositedETH, depositedETH, depositedToken, depositedToken",False
kycComplete(),state,False
removeSupporter(address),"depositedETH, depositedToken, depositedToken, depositedETH, depositedETH, depositedToken, token",False
claimTokens(uint256),"depositedToken, depositedToken, depositedETH, depositedETH, depositedToken, token",True
claimAllSupporterTokensByOwner(address),"depositedToken, token",True
claimAllTokens(),depositedToken,True
"RefundVault(address,)","etherWallet, token, state",False
"deposit(address,uint256)","depositedETH, depositedETH, depositedToken, depositedToken",False
close(),"state, etherWallet",True
enableRefunds(),"state, refundStartTime",False
refundETH(uint256),"depositedToken, depositedETH, depositedETH, depositedToken, token",True
claimTokens(uint256),"depositedToken, depositedToken, depositedETH, depositedETH, depositedToken, token, state, etherWallet",True
claimAllSupporterTokensByOwner(address),"depositedToken, token",True
claimAllTokens(),depositedToken,True
"Crowdsale(uint256,uint256,uint256,address,,)","startTime, endTime, rate, wallet, token, vault",False
function()externalpayable{buyTokens(msg.sender);}(),,True
buyTokens(address),"weiRaised, weiRaised, token, vault, vault",True
hasEnded(),endTime,False
getRate(),rate,False
finalize(),"isFinalized, isFinalized",False
"BitMEDCrowdsale(uint256,uint256,address,address,address,address,,,)","walletTeam, walletCommunity, walletReserve, token, refundVault, vault",False
getRate(),"startTime, startTime, startTime, startTime, startTime, startTime, startTime, startTime, startTime, startTime, startTime, startTime, startTime, startTime, startTime, rate",False
getTotalFundsRaised(),"fiatRaisedConvertedToWei, weiRaised",False
isActive(),"startTime, endTime",False
"addUpdateGrantee(address,uint256)","presaleGranteesMap, presaleGranteesMapKeys, MAX_TOKEN_GRANTEES, presaleGranteesMapKeys, presaleGranteesMap, presaleGranteesMap",False
deleteGrantee(address),"presaleGranteesMap, presaleGranteesMap, presaleGranteesMapKeys, presaleGranteesMapKeys, presaleGranteesMapKeys, presaleGranteesMapKeys, presaleGranteesMapKeys, presaleGranteesMapKeys, presaleGranteesMapKeys, presaleGranteesMapKeys, presaleGranteesMap",False
setFiatRaisedConvertedToWei(uint256),"fiatRaisedConvertedToWei, fiatRaisedConvertedToWei",True
claimTokenOwnership(),token,False
claimRefundVaultOwnership(),refundVault,False
claimVaultOwnership(),vault,False
buyTokensWithGuarantee(),"REFUND_DIVISION_RATE, weiRaised, weiRaised, token, refundVault, refundVault, refundVault",True
