Function Name,State Variables Modified,Can Transfer Ether
knownAddress(address),,False
hasIdentity(address),,False
"systemAddresses(address,address)",,False
MultiOwners(),publisher,True
isOwner(),,True
checkOwner(address),,False
grant(address),,False
revoke(address),publisher,True
addAddress(address),addresses,False
addSystem(address),system,False
addIdentity(address),"addresses, addresses, identities",False
knownAddress(address),addresses,False
hasIdentity(address),identities,False
systemAddress(address),system,False
"systemAddresses(address,address)",,False
