Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
totalSupply(),totalSupply_,False
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
balanceOf(address),balances,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","balances, allowed, balances, balances, balances, balances, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
collectOwedDividends(),"credits, POINTS_PER_WEI, credits",True
getProperty(string),,False
owner(),,False
landRegistry(),,False
"checkRole(address,string)",,False
whitelist(),,False
"constructor(string,string)","name, symbol, totalSupply_, NUM_TOKENS, decimals, balances, totalSupply_, totalSupply_",True
"function()publicpayable{uint256value=msg.value;require(value>0,""must send wei in fallback"");addressblockimmo=registryProxy.owner();if(blockimmo!=address(0)){uint256fee=value/100;blockimmo.transfer(fee);value=value.sub(fee);}deposit(value);}()",registryProxy,True
setManagementCompany(string),"managementCompany, managementCompany",False
untokenize(),,False
emitGenericProposal(string),,False
"transfer(address,uint256)",minTransferAccepted,True
"transferFrom(address,address,uint256)",minTransferAccepted,True
setMinTransfer(uint256),minTransferAccepted,True
