Function Name,State Variables Modified,Can Transfer Ether
constructor(),_owner,True
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
destroy(),,False
destroyAndSend(address),,False
"transfer(address,uint256)",,False
balanceOf(address),,False
totalSupply(),,False
recoverTokens(),,True
function()public{}(),,False
"castVote(string,uint8)","votersInfo, voteCountTotal, voteCountTotal, currentVoteResults, currentVoteResults, currentVoteResults",True
thisVoterExists(),votersInfo,True
thisVotersChoice(),"votersInfo, votersInfo",True
thisVotersName(),"votersInfo, votersInfo",True
currentResult(),currentVoteResults,False
votesPerChoice(uint8),currentVoteResults,False
numberOfChoices(),currentVoteResults,False
