Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
Ownable(),,False
transferOwnership(address),"owner, owner",False
burn(uint256),,True
"mint(address,uint256)",,False
finishMinting(),mintingFinished,False
"lock(bytes32,uint256,uint256)",,False
"tokensLocked(address,bytes32)",,False
"tokensLockedAtTime(address,bytes32,uint256)",,False
totalBalanceOf(address),,False
"extendLock(bytes32,uint256)",,False
"increaseLockAmount(bytes32,uint256)",,False
"tokensUnlockable(address,bytes32)",,False
unlock(address),,False
getUnlockableTokens(address),,False
constructor(),"owner, owner",False
"Airdrop(,,uint256)",,True
"lock(bytes32,uint256,uint256)","ALREADY_LOCKED, AMOUNT_ZERO, locked, lockReason, locked",True
"transferWithLock(address,bytes32,uint256,uint256)","ALREADY_LOCKED, AMOUNT_ZERO, locked, lockReason, locked",True
"tokensLocked(address,bytes32)","locked, locked",False
"tokensLockedAtTime(address,bytes32,uint256)","locked, locked",False
totalBalanceOf(address),"lockReason, lockReason",False
"extendLock(bytes32,uint256)","NOT_LOCKED, locked, locked, locked, locked",True
"increaseLockAmount(bytes32,uint256)","NOT_LOCKED, locked, locked, locked, locked",True
"tokensUnlockable(address,bytes32)","locked, locked, locked",False
unlock(address),"lockReason, lockReason, locked, lockReason, lockReason",True
getUnlockableTokens(address),"lockReason, lockReason",False
