Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
addAdmin(address),admins,False
removeAdmin(address),admins,False
checkAdmin(address),admins,False
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
pause(),paused,False
unpause(),paused,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
constructor(uint256),,True
totalSupply(),,False
"transfer(address,uint256)",,True
"batchTransfer(,uint256)",,True
balanceOf(address),,False
"constructor(string,string,uint8)","name, symbol, decimals",False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)","allowed, allowed",True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
"recoverLost(address,uint256)",,True
"transfer(address,uint256)",,True
"batchTransfer(,uint256)",,False
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"increaseApproval(address,uint)",,False
"decreaseApproval(address,uint)",,False
"recoverLost(address,uint256)",,False
