Function Name,State Variables Modified,Can Transfer Ether
owner(),_owner,False
isOwner(),_owner,True
transferOwnership(address),,True
transferOwnership(address),pendingOwner,False
claimOwnership(),"_owner, pendingOwner, _owner, pendingOwner, pendingOwner",False
balanceOf(address),,False
"transfer(address,uint256)",,False
"constructor(uint256,address,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,bytes32,uint256)","teamWallet, jackpotDrawTime, jackpotAccumulationTimer, commissionPercent, jackpotPercent, referralPercent, jackpotGameTimerAddition, revealTimer, minRevealTimer, maxRevealTimer, disputeTimer, minDisputeTimer, maxDisputeTimer, waitingBetTimer, minWaitingBetTimer, maxWaitingBetTimer, gameDurationForJackpot, salt, chainId, DOMAIN_SEPARATOR, EIP712_DOMAIN_TYPEHASH, verifyingContract, salt",False
setWaitingBetTimerValue(uint256),"minWaitingBetTimer, maxWaitingBetTimer, waitingBetTimer",False
setDisputeTimerValue(uint256),"minDisputeTimer, maxDisputeTimer, disputeTimer",False
setRevealTimerValue(uint256),"minRevealTimer, maxRevealTimer, revealTimer",False
setMinBetValue(uint256),minBet,False
setJackpotGameTimerAddition(uint256),"chainId, jackpotValue, chainId, jackpotValue, jackpotGameTimerAddition",False
setReferralPercentValue(uint256),"maxReferralPercent, referralPercent",False
setCommissionPercent(uint256),commissionPercent,False
setTeamWalletAddress(address),teamWallet,False
getJackpotInfo(),"jackpotDrawTime, jackpotValue, jackpotGameId",False
getTimers(),"revealTimer, disputeTimer, waitingBetTimer, jackpotAccumulationTimer",False
claimTokens(address),,True
"createGame(bool,bytes32,bytes32,bytes,bytes)","minBet, games",True
"win(bytes32,uint8,bytes32,uint8,bytes32,address)",games,True
"openDispute(bytes32,uint8,bytes32,bool,bytes32)","games, players, players, players, players",True
"resolveDispute(bytes32,uint8,bytes32,bool,bytes32)","games, disputes",True
closeDisputeOnTimeout(bytes32),"games, disputes",True
cancelGame(bytes32),"games, players, players",True
drawJackpot(),"jackpotGameId, jackpotValue",False
isDisputeOpened(bytes32),"games, games",False
isPlayerExist(address),players,False
timeUntilCancel(bytes32),"games, waitingBetTimer, waitingBetTimer",False
timeUntilOpenDispute(bytes32),"games, revealTimer, revealTimer",False
timeUntilCloseDispute(bytes32),"disputes, disputeTimer, disputeTimer",False
getTime(),,False
getGameState(bytes32),games,False
"isSecretDataValid(bytes32,uint8,bytes32,bool,bytes32)",games,True
isJackpotAvailable(),jackpotDrawTime,False
isGameAllowedForJackpot(bytes32),"games, gameDurationForJackpot",False
getGamesStates(),games,False
getPlayersStatistic(),players,False
"getGameId(bytes,bytes)",,False
