Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
constructor(),owner,True
"createSwap(bytes20,address,uint256,address)","swaps, swaps",True
"createSwapTarget(bytes20,address,address,uint256,address)","swaps, swaps",True
getBalance(address),swaps,True
getTargetWallet(address),swaps,True
"withdraw(bytes32,address)","swaps, swaps, swaps",True
"withdrawNoMoney(bytes32,address)","swaps, swaps, swaps",True
getSecret(address),swaps,True
refund(address),swaps,True
