Function Name,State Variables Modified,Can Transfer Ether
Owned(),owner,True
transferOwnership(address),"owner, owner, owner",False
pause(),paused,False
unpause(),paused,False
balanceOf(address),,False
name(),,False
symbol(),,False
decimals(),,False
totalSupply(),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
name(),name,False
symbol(),symbol,False
decimals(),decimals,False
totalSupply(),totalSupply,False
"ERC20Token(uint256,string,string,uint8)","balances, name, symbol, decimals, totalSupply",True
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
"checkAddressTransfer(address,uint256,address)","owner, balances, balances, balances, balances, balances",True
"transferFrom(address,address,uint256)","balances, balances, balances, balances, balances",True
"approve(address,uint256)",,True
"allowance(address,address)",,False
balanceOf(address),balances,False
"increaseApproval(address,uint)",,True
"decreaseApproval(address,uint)",,True
