Function Name,State Variables Modified,Can Transfer Ether
Ownable(),,False
changeOwner(address),"owner, owner",False
ContractStakeToken(address),owner,False
"setContractUser(address,bool)",contractUsers,False
function()payablepublic{}(),,False
"depositToken(address,,uint256,uint256)","totalDepositTokenAll, totalDepositTokenAll",True
"validWithdrawToken(address,uint256)",,True
withdrawToken(address),"totalWithdrawTokenAll, totalWithdrawTokenAll",False
balanceOfToken(address),,False
"cancel(uint256,address)",,False
withdrawOwner(uint256),"owner, owner",True
"changeRates(uint8,uint256)",rates,False
getTokenStakeByIndex(uint256),,False
"getTokenTransferInsByAddress(address,uint256)",,True
getCountTransferInsToken(address),,True
getCountStakesToken(),,False
getTotalTokenDepositByAddress(address),,False
getTotalTokenWithdrawByAddress(address),,False
removeContract(),owner,False
"calculator(uint8,uint256,uint256)",rates,False
