Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"lengthOfCommonPrefix(bytes,bytes)",,False
"lengthOfCommonPrefix32(bytes32,bytes)",,False
"lengthOfCommonPrefix3232(bytes32,bytes32)",,False
"equalBytesToBytes(bytes,bytes)",,False
"equalBytes32ToBytes(bytes32,bytes)",,False
bytesToBytes32(bytes),,False
"toBase58Checked(uint256,byte)",,False
"createBtcAddressHex(uint256,uint256)",,False
"createBtcAddress(uint256,uint256)",,False
"invmod(uint256,uint256)",,False
"submod(uint,uint,uint)",,False
"addXY(uint,uint,uint,uint)",,False
"doubleXY(uint,uint)",,False
"mulXY(uint,uint,uint)",,False
bitcoinPublicKey(uint256),,False
complexityForBtcAddressPrefix(bytes),,False
"complexityForBtcAddressPrefixWithLength(bytes,uint)",,False
"countBtcAddressLeadingOnes(bytes,uint)",,False
isValidBicoinAddressPrefix(bytes),,False
"isValidPublicKey(uint256,uint256)",,False
startUpgrade(),,False
endUpgrade(),,False
Upgradable(address),"upgradableState, upgradableState",True
startUpgrade(),"owner, upgradableState, upgradableState, upgradableState, upgradableState",True
endUpgrade(),"upgradableState, upgradableState, owner, upgradableState, upgradableState, upgradableState, upgradableState, upgradableState",True
_inverse(uint256),,False
"_ecAdd(uint256,uint256,uint256,uint256,uint256,uint256)",,False
"_ecDouble(uint256,uint256,uint256)",,False
"_ecMul(uint256,uint256,uint256,uint256)",,False
publicKey(uint256),,False
"deriveKey(uint256,uint256,uint256)",,False
"TaskRegister(address,address,address)","ec, token",False
upgrade(uint),"upgradableState, upgradableState, nextTaskId, upgradableState, totalReward, upgradableState, tasks, upgradableState, tasks, tasks, tasks, tasks, tasks, tasks, upgradableState, indexOfTaskId, tasks, tasks, tasks, tasks, tasks, upgradableState",False
endUpgrade(),"upgradableState, token, upgradableState, token",True
tasksCount(),tasks,False
completedTasksCount(),completedTasks,False
"payForTask(uint256,uint256)","token, tasks, totalReward",True
safeIndexOfTaskId(uint),indexOfTaskId,False
"createBitcoinAddressPrefixTask(bytes,uint256,uint256,uint256)","token, nextTaskId, tasks, indexOfTaskId, nextTaskId, tasks, nextTaskId, nextTaskId",True
"solveTask(uint,uint256)","tasks, ec, ec, ec, token, totalReward",True
"recoverLost(,address)","token, totalReward",True
