Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),owner,False
transferToOwner(),owner,True
updateLock(bool),"isLock, isLock",False
getPrice(),,False
getWinRate(uint8),,False
getOverRate(uint8),,False
getPumpRate(),,False
getRandom(bytes32),,False
GetAddressByName(bytes32),,False
getInviteRate(),,False
"loseHandler(address,uint8)",,False
constructor(address),mConfig,False
updateConfig(address),mNewConfig,False
"PK(uint8,bytes32)","mConfig, mWinner, mConfig, mWinner, mWinner, mWinner, mWinner, mWinner, mWinner, mWinner, mConfig, mWinner, mWinner, mWinner, mConfig, mWinner, mConfig, owner, mWinner, mWinner, mConfig",True
getGameInfo(),"mWinner, mWinner, mWinner, mConfig, mWinner, mConfig, mWinner, mConfig, mConfig",False
