Function Name,State Variables Modified,Can Transfer Ether
AccessControl(),creatorAddress,True
addSERAPHIM(address),"seraphims, seraphims, totalSeraphims",False
removeSERAPHIM(address),"seraphims, seraphims, totalSeraphims",False
updateMaintenanceMode(bool),isMaintenanceMode,False
"getRandomNumber(uint16,uint8,address)",,False
"createAngelCardSeries(uint8,uint,uint64,uint8,uint16,uint64)",,False
updateAngelCardSeries(uint8),,False
"setAngel(uint8,address,uint,uint16)",,False
"addToAngelExperienceLevel(uint64,uint)",,False
setAngelLastBattleTime(uint64),,False
setAngelLastVsBattleTime(uint64),,False
"setLastBattleResult(uint64,uint16)",,False
"transferAngel(address,address,uint64)",,False
"ownerAngelTransfer(address,uint64)",,False
getAngelCardSeries(uint8),,False
getAngel(uint64),,False
getOwnerAngelCount(address),,False
"getAngelByIndex(address,uint)",,False
getTotalAngelCardSeries(),,False
getTotalAngels(),,False
AngelCardData(),,False
"createAngelCardSeries(uint8,uint,uint64,uint8,uint16,uint64)","totalAngelCardSeries, angelCardSeriesCollection, totalAngelCardSeries, totalAngelCardSeries",False
updateAngelCardSeries(uint8),"angelCardSeriesCollection, angelCardSeriesCollection, prevSeriesSelloutHours, prevSeriesSelloutHours, prevSeriesSelloutHours, prevSeriesSelloutHours, prevSeriesSelloutHours, prevSeriesSelloutHours",False
"setAngel(uint8,address,uint,uint16)","angelCardSeriesCollection, totalAngels, angelCollection, totalAngels, totalAngels",False
"addToAngelExperienceLevel(uint64,uint)",angelCollection,False
setAngelLastBattleTime(uint64),angelCollection,False
setAngelLastVsBattleTime(uint64),angelCollection,False
"setLastBattleResult(uint64,uint16)",angelCollection,False
"ownerAngelTransfer(address,uint64)","totalAngels, angelCollection",True
"transferAngel(address,address,uint64)",angelCollection,False
getAngelCardSeries(uint8),angelCardSeriesCollection,False
getAngel(uint64),angelCollection,False
getOwnerAngelCount(address),ownerAngelCollection,False
"getAngelByIndex(address,uint)","ownerAngelCollection, ownerAngelCollection",False
getTotalAngelCardSeries(),totalAngelCardSeries,False
getTotalAngels(),totalAngels,False
