Function Name,State Variables Modified,Can Transfer Ether
etherKing(uint256),"price, owner",True
withdrawAll(),,True
withdrawAmount(uint256),,True
battleCountOf(),battleCount,False
countryLengthOf(),countryOwners,False
winAddressOf(),"win, win, win, countryOwners",False
countryOwnersOf(),countryOwners,False
ownerOfCountryCount(address),"countryOwners, countryOwners",False
isBuyFull(),"countryOwners, countryOwners",False
buyCountry(uint256),"price, countryOwners, countryOwners, countryOwners",True
calculateWin(),"win, battleCount, countryOwners, countryOwners, win, win, battleCount, win",True
reset(),"win, win, battleCount, countryOwners, countryOwners",False
historyCountOf(),historyCount,False
addressHistoryOf(uint256),winAddressHistory,False
itemHistoryOf(uint256),winItemIdHistory,False
"getHistory(uint256,uint256)",historyCount,False
