Function Name,State Variables Modified,Can Transfer Ether
"query(uint,string,string)",,False
"query_withGasLimit(uint,string,string,uint)",,False
"query2(uint,string,string,string)",,False
"query2_withGasLimit(uint,string,string,string,uint)",,False
"queryN(uint,string,bytes)",,False
"queryN_withGasLimit(uint,string,bytes,uint)",,False
getPrice(string),,False
"getPrice(string,uint)",,False
setProofType(byte),,False
setCustomGasPrice(uint),,False
randomDS_getSessionPubKeyHash(),,False
getAddress(),,False
"__callback(bytes32,string)",,True
"__callback(bytes32,string,bytes)",,False
balanceOf(address),,False
"transfer(address,uint256)",,False
SweepsToken(),"owner, owner",True
balanceOf(address),,False
EthereumSweepstakes(),"owner, sweepsState, sweepsCreationTime",True
management(),owner,True
buyTokens(),"drawPool, sweepsState",True
closeOutSweeps(),,False
drawSecondaryWinners(),"sweepsState, jackpots, jackpots",False
drawTertiaryAWinners(uint),"jackpots, sweepsState, jackpots, jackpots",False
drawTertiaryBWinners(uint),"jackpots, sweepsState, jackpots",False
drawTertiaryCWinners(uint),"jackpots, sweepsState, jackpots",False
drawTertiaryDWinners(uint),"jackpots, sweepsState, jackpots",False
Fund_Contract(),,False
function()publicpayable{buyTokens();}(),,False
cleanUp(),"sweepsState, owner",False
