Function Name,State Variables Modified,Can Transfer Ether
setNewOwner(address),owner,False
unlock(),locked,False
lock(),locked,False
getVaultLock(address),,False
totalSupply(),totalSupply,False
balanceOf(address),,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
"transfer(address,uint256)",,True
"transferInitialAllocation(address,uint256)",,True
"transferInitialAllocationWithTimedLock(address,uint256,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
setup(),"setupDone, start, end, token, owner, token, founder1, token, founder2, token, angelPool, token, advisoryPool, tokenCap, tokenCap, token, rate, setupDone",True
buyToken(),"rate, tokenCap, tokenCap, token, owner, totalContribution",True
finalizeCrowdsale(),"tokenCap, token, owner, tokenCap, token, owner, saleFinished",True
forceEnd(),forceFinished,False
function()externalpayable{buyToken();}(),,False
