Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
constructor(),owner,True
transferOwnership(address),newOwner,False
acceptOwnership(),"newOwner, owner, newOwner, newOwner, owner, newOwner",True
pause(),paused,False
unpause(),paused,False
constructor(),"symbol, name, decimals, decimals, owner, owner",False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,True
"approve(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
burn(uint256),,True
"burnFrom(address,uint256)",,True
"mintToken(address,uint256)",owner,False
function()publicpayable{revert();}(),,False
"transferAnyERC20Token(address,uint256)",owner,True
