Function Name,State Variables Modified,Can Transfer Ether
getSoftCap(),,False
Ownable(address),owner,True
transferOwnership(address),"owner, newOwner",False
confirmOwnership(),"newOwner, owner, newOwner, owner, newOwner, newOwner",True
pause(),paused,False
unpause(),paused,False
processContribution(address),,False
onCrowdsaleEnd(),,False
enableCrowdsaleRefund(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
SafeMath(),,False
"LockedTokens(,address)","token, crowdsaleAddress",False
"addTokens(address,uint256,uint256)","crowdsaleAddress, walletTokens",True
releaseTokens(),"walletTokens, walletTokens, walletTokens, walletTokens, walletTokens, token, walletTokens, walletTokens",True
MultiOwnable(),manager,True
setOwners(),manager,True
getOwners(),owners,False
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
"transferFrom(address,address,uint256)","balances, allowed, balances, balances, balances, balances, allowed, allowed",True
balanceOf(address),balances,False
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"onTokenTransfer(address,address,uint256)",,False
"ManagedToken(address,)",eventListener,False
setAllowTransfers(bool),allowTransfers,False
setListener(address),"eventListener, eventListener",False
"transfer(address,uint256)",eventListener,True
"transferFrom(address,address,uint256)",eventListener,True
"issue(address,uint256)","totalSupply, totalSupply, balances, balances",False
"destroy(address,uint256)","ownerByAddress, balances, totalSupply, totalSupply, balances, balances",True
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
finishIssuance(),issuanceFinished,False
"TransferLimitedToken(uint256,address,,address)","limitEndDate, LIMIT_TRANSFERS_PERIOD, isLimitEnabled, limitedWalletsManager",False
enableTransfers(),"limitedWalletsManager, allowTransfers",True
addLimitedWalletAddress(address),"limitedWalletsManager, ownerByAddress, limitedWallets",True
delLimitedWalletAddress(address),limitedWallets,False
disableLimit(),isLimitEnabled,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"TheBolthDAICO(address,address,address,address,address,address,address,address)","token, fund, mainSaleTokenWallet, foundationTokenWallet, advisorsTokenWallet, teamTokenWallet, marketingTokenWallet, tokenMaxSupply",False
"setTokenPrice(uint256,uint256)","tokenPriceNum, tokenPriceDenom, tokenPriceNum, tokenPriceDenom",False
setHardCap(uint256),"hardCap, hardCap",False
setSoftCap(uint256),"softCap, softCap",False
getSoftCap(),softCap,False
"addToLists(address,bool,bool)","token, additionalBonusOwnerState",False
addAdditionalBonusMember(address),additionalBonusOwnerState,False
setLockedTokens(address),lockedTokens,False
"function()payablepublicwhenNotPaused{processContribution(msg.sender,msg.value);}()",,True
forceCrowdsaleRefund(),"fund, token",False
finalizeCrowdsale(),"totalEtherContributed, hardCap, SALE_END_TIME, totalEtherContributed, softCap, fund, token, tokenMaxSupply, token, lockedTokens, lockedTokens, mainSaleTokenWallet, token, foundationTokenWallet, token, lockedTokens, lockedTokens, advisorsTokenWallet, token, lockedTokens, lockedTokens, teamTokenWallet, token, marketingTokenWallet, token, SALE_END_TIME, fund, token",False
