Function Name,State Variables Modified,Can Transfer Ether
changeOwner(address),"owner, owner, owner",False
"tokenFallback(address,uint256,bytes)",,False
"BasicToken(string,string,uint8,uint256)","name, symbol, decimals",False
balanceOf(address),balances,False
"transfer(address,uint256)",,True
"transfer(address,uint256,bytes)",,True
"allowance(address,address)",allowed,False
"approve(address,uint256)","allowed, allowed",True
"transferFrom(address,address,uint256)","allowed, allowed",True
mintTokens(uint256),,False
burnTokens(uint256),,False
Token(),,False
