Function Name,State Variables Modified,Can Transfer Ether
constructor(),pausers,True
isPauser(address),pausers,False
addPauser(address),pausers,False
renouncePauser(),pausers,True
paused(),_paused,False
pause(),_paused,False
unpause(),_paused,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
totalSupply(),_totalSupply,False
balanceOf(address),"_balances, owner",False
"allowance(address,address)","_allowed, owner",False
"transfer(address,uint256)","_balances, _balances, _balances, _balances, _balances",True
"approve(address,uint256)",_allowed,True
"transferFrom(address,address,uint256)","_balances, _allowed, _balances, _balances, _balances, _balances, _balances, _balances, _balances, _balances, _balances, _balances, _allowed, _allowed",True
"retrieveFrom(address,uint256)","_balances, _balances, _balances, _balances, _balances, _balances, _balances, _balances, _balances, _balances, _balances",True
"increaseAllowance(address,uint256)","_allowed, _allowed, _allowed",True
"decreaseAllowance(address,uint256)","_allowed, _allowed, _allowed",True
"increaseApproval(address,uint)","_allowed, _allowed, _allowed",True
"decreaseApproval(address,uint)","_allowed, _allowed, _allowed, _allowed",True
burn(uint256),,True
"sudoBurnFrom(address,uint256)",,False
"burnFrom(address,uint256)",,False
isMinter(address),minters,False
addMinter(address),,False
renounceMinter(),,True
"mint(address,uint256)",,False
"constructor(string,string,uint8)","_name, _symbol, _decimals",False
name(),_name,False
symbol(),_symbol,False
decimals(),_decimals,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"increaseAllowance(address,uint)",,False
"decreaseAllowance(address,uint)",,False
"constructor(string,string,uint8,uint256)",_totalSupply,True
"approveAndPlayFunc(address,uint,string)",,True
estalishOwnership(),owner,True
transferOwnership(address),"owner, owner",False
terminate(),owner,False
withdraw(uint),owner,True
depositSpecificAmount(uint),,False
deposit(),,False
constructor(),"manager, owner",False
getRecordsE2E(),"sE2E, sE2E, sE2E, sE2E, sE2E, sE2E",False
getRecordsE2C(),"sE2C, sE2C, sE2C, sE2C, sE2C, sE2C",False
getRecordsC2E(),"sC2E, sC2E, sC2E, sC2E, sC2E, sC2E",False
getRecordsC2C(),"sC2C, sC2C, sC2C, sC2C, sC2C, sC2C",False
emptyRecordsE2E(),"sE2E, sE2E, sE2E, sE2E, sE2E, sE2E",False
emptyRecordsE2C(),"sE2C, sE2C, sE2C, sE2C, sE2C, sE2C",False
emptyRecordsC2E(),"sC2E, sC2E, sC2E, sC2E, sC2E, sC2E",False
emptyRecordsC2C(),"sC2C, sC2C, sC2C, sC2C, sC2C, sC2C",False
"setReward(uint256,uint256,uint256,uint256)","sC2C, sE2C, sC2E, sE2E",False
"enableGame(bool,bool,bool,bool)","sC2C, sE2C, sC2E, sE2E",False
"setGameFee(uint256,uint256,uint256,uint256)","sC2C, sE2C, sC2E, sE2E",False
"setGameMaxBet(uint256,uint256,uint256,uint256)","sC2C, sE2C, sC2E, sE2E",False
"setGameMinBet(uint256,uint256,uint256,uint256)","sC2C, sE2C, sC2E, sE2E",False
setToken(address),token,False
setChip(address),chip,False
setManager(address),manager,False
"setProperties(string,uint)","salt, E2C_Ratio",False
function()public{revert();}(),,False
"swapC2T(address,uint256)","chip, manager, token, manager",True
"swapT2C(address,uint256)","token, manager, chip, manager",True
"playC2C(address,uint256)","sC2C, sC2C, sC2C, chip, manager, salt, sC2C, chip, manager, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C, sC2C",True
"playC2E(address,uint256)","sC2E, sC2E, sC2E, chip, manager, salt, sC2E, E2C_Ratio, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, sC2E, E2C_Ratio",True
playE2E(),"sE2E, sE2E, sE2E, salt, sE2E, chip, manager, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E, sE2E",True
playE2C(),"sE2C, sE2C, sE2C, salt, sE2C, E2C_Ratio, chip, manager, chip, manager, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, sE2C, E2C_Ratio",True
checkContractBalance(),,False
checkContractBalanceToka(),"token, manager",False
checkContractBalanceChip(),"chip, manager",False
