Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
constructor(),owner,True
transferOwnership(address),newOwner,False
acceptOwnership(),"newOwner, owner, newOwner, owner, newOwner, newOwner",True
"constructor(address,address)","symbol, name, decimals, _totalSupply, owner, owner, Open, owner, hardCap, softCap, minTx",False
totalSupply(),_totalSupply,False
balanceOf(address),,False
"transfer(address,uint)",,True
"approve(address,uint)",,True
"transferFrom(address,address,uint)",,True
"allowance(address,address)",,False
"burnTokens(address,uint256)",,False
pause(),Open,False
unPause(),Open,False
function()externalpayable{buyTokens(msg.sender);}(),,True
buyTokens(address),"minTx, fundsRaised, fundsRaised, purchasers",False
