Function Name,State Variables Modified,Can Transfer Ether
NewForm(),,True
setData_1(string),,False
getData_1(),,False
setData_2(string),,False
getData_2(),,False
setData_3(string),,False
getData_3(),,False
setData_4(string),,False
getData_4(),,False
setData_5(string),,False
getData_5(),,False
setData_6(string),,False
getData_6(),,False
setData_7(string),,False
getData_7(),,False
setData_8(string),,False
getData_8(),,False
setData_9(string),,False
getData_9(),,False
setData_10(string),,False
getData_10(),,False
setData_11(string),,False
getData_11(),,False
setData_12(string),,False
getData_12(),,False
setData_13(string),,False
getData_13(),,False
setData_14(string),,False
getData_14(),,False
setData_15(string),,False
getData_15(),,False
setData_16(string),,False
getData_16(),,False
setData_17(string),,False
getData_17(),,False
setData_18(string),,False
getData_18(),,False
setData_19(string),,False
getData_19(),,False
setData_20(string),,False
getData_20(),,False
setData_21(string),,False
getData_21(),,False
setData_22(string),,False
getData_22(),,False
setData_23(string),,False
getData_23(),,False
setData_24(string),,False
getData_24(),,False
setData_25(string),,False
getData_25(),,False
setData_26(string),,False
getData_26(),,False
setData_27(string),,False
getData_27(),,False
setData_28(string),,False
getData_28(),,False
setData_29(string),,False
getData_29(),,False
setData_30(string),,False
getData_30(),,False
setData_31(string),,False
getData_31(),,False
setData_32(string),,False
getData_32(),,False
setData_33(string),,False
getData_33(),,False
setData_34(string),,False
getData_34(),,False
setData_35(string),,False
getData_35(),,False
setData_36(string),,False
getData_36(),,False
setData_37(string),,False
getData_37(),,False
setData_38(string),,False
getData_38(),,False
setData_39(string),,False
getData_39(),,False
setData_40(string),,False
getData_40(),,False
