Function Name,State Variables Modified,Can Transfer Ether
Owned(),owner,True
changeOwner(address),owner,False
"receiveApproval(address,uint256,address,bytes)",,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
"function()payablepublic{require(crowdsaleIsOpen==true);if(msg.value>0){mintDSBCToken(msg.sender,(msg.value*ExchangeRate*10**decimals)/etherChange);}if(CandyDropIsOpen){if(!blacklist[msg.sender]){mintDSBCToken(msg.sender,CandyRate*10**decimals);blacklist[msg.sender]=true;}}}()","crowdsaleIsOpen, ExchangeRate, decimals, etherChange, CandyDropIsOpen, blacklist, CandyRate, decimals, blacklist",True
DASABI_IO_Contract(),"owner, totalSupply, decimals, ExchangeRate, CandyRate, totalRemainSupply, totalSupply, crowdsaleIsOpen, CandyDropIsOpen",True
setExchangeRate(uint256),ExchangeRate,False
crowdsaleOpen(bool),crowdsaleIsOpen,False
CandyDropOpen(bool),CandyDropIsOpen,False
totalDistributed(),"totalSupply, totalRemainSupply",False
balanceOf(address),,False
"transfer(address,uint256)",,True
"approve(address,uint256)",,True
"approveAndCall(address,uint256,bytes)",,True
"transferFrom(address,address,uint256)",,True
"allowance(address,address)",,False
withdraw(address),"multisigAddress, multisigAddress",True
"mintTokens(address,uint256)",,True
burnTokens(uint256),totalRemainSupply,True
